,state,college,cases,college_size_category,distance_educ_offered,admissions_total,freshmen_enrollment,admissions_men,admissions_women,number_freshmen_submitting_sat,number_freshmen_submitting_act,sat_ebrw_25,sat_ebrw_75,sat_math_25,sat_math_75,act_comp_25,act_comp_75,act_english_25,act_english_75,act_math_25,act_math_75,football_conference,region,status_reopening,stay_at_home_order,large_gatherings,restaurant_limits,bar_closures,face_coverings,class_plan,total_enrollment,percent_infected,greater_than_5
312,Illinois,Illinois Wesleyan University,213.0,2.0,1.0,2261.0,409.0,930.0,1331.0,241.0,245.0,560.0,650.0,560.0,670.0,24.0,29.0,23.0,30.0,23.0,28.0,College Conference of Illinois and Wisconsin,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily online,1693,0.125812167749557,1
313,Illinois,Knox College,48.0,2.0,0.0,2321.0,318.0,971.0,1350.0,171.0,130.0,550.0,670.0,540.0,680.0,24.0,31.0,24.0,34.0,21.0,28.0,Midwest Conference,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Hybrid,1333,0.03600900225056264,0
315,Illinois,Lewis University,251.0,3.0,1.0,4265.0,639.0,1750.0,2515.0,422.0,184.0,500.0,600.0,510.0,600.0,21.0,27.0,20.0,26.0,20.0,26.0,Not applicable,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily online,6440,0.038975155279503106,0
316,Illinois,Loyola University Chicago,215.0,4.0,1.0,17198.0,2630.0,5310.0,11888.0,1541.0,1583.0,570.0,660.0,560.0,660.0,25.0,30.0,24.0,32.0,23.0,28.0,Not applicable,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Fully online,17007,0.012641853354501088,0
317,Illinois,McKendree University,197.0,2.0,1.0,1265.0,332.0,607.0,658.0,189.0,127.0,428.0,635.0,431.0,633.0,19.0,28.0,17.0,27.0,17.0,28.0,Great Lakes Valley Conference,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily in person,2494,0.07898957497995189,1
318,Illinois,Millikin University,183.0,2.0,1.0,2516.0,487.0,1133.0,1383.0,268.0,228.0,490.0,610.0,460.0,590.0,19.0,27.0,18.0,28.0,18.0,25.0,College Conference of Illinois and Wisconsin,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Hybrid,2094,0.08739255014326648,1
319,Illinois,Monmouth College,44.0,1.0,0.0,1548.0,255.0,828.0,720.0,210.0,110.0,490.0,610.0,460.0,600.0,19.0,26.0,18.0,26.0,18.0,26.0,Midwest Conference,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily online,914,0.04814004376367615,0
320,Illinois,Moody Bible Institute,76.0,2.0,1.0,304.0,194.0,128.0,176.0,59.0,56.0,530.0,620.0,460.0,580.0,18.0,23.0,19.0,25.0,16.0,23.0,Not applicable,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily online,3086,0.02462734931950745,0
321,Illinois,North Central College,260.0,2.0,1.0,3673.0,557.0,1509.0,2164.0,420.0,241.0,510.0,630.0,520.0,630.0,21.0,27.0,20.0,28.0,20.0,27.0,College Conference of Illinois and Wisconsin,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily in person,2928,0.08879781420765027,1
322,Illinois,North Park University,157.0,2.0,1.0,2113.0,371.0,799.0,1314.0,281.0,116.0,480.0,590.0,490.0,590.0,19.0,25.0,19.0,25.0,18.0,25.0,College Conference of Illinois and Wisconsin,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily in person,2900,0.05413793103448276,1
323,Illinois,Northeastern Illinois University,189.0,3.0,1.0,2755.0,452.0,1095.0,1660.0,375.0,95.0,470.0,570.0,440.0,550.0,15.0,22.0,15.0,21.0,16.0,21.0,Not applicable,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily online,8103,0.02332469455757127,0
324,Illinois,Northern Illinois University,589.0,4.0,1.0,7588.0,1897.0,3153.0,4434.0,1594.0,492.0,470.0,590.0,470.0,580.0,19.0,25.0,18.0,25.0,17.0,25.0,Mid-American Conference,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily online,17169,0.03430601665792999,0
325,Illinois,Northwestern University,394.0,5.0,1.0,3673.0,2006.0,1796.0,1877.0,1284.0,1070.0,700.0,760.0,740.0,790.0,33.0,35.0,34.0,36.0,31.0,35.0,Big Ten Conference,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily online,22127,0.017806299995480633,0
326,Illinois,Olivet Nazarene University,70.0,2.0,1.0,2899.0,696.0,1174.0,1659.0,483.0,366.0,490.0,600.0,470.0,580.0,19.0,26.0,19.0,27.0,17.0,26.0,Mid-States Football Association,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily in person,4655,0.015037593984962405,0
327,Illinois,Quincy University,267.0,2.0,1.0,767.0,215.0,382.0,385.0,106.0,130.0,470.0,590.0,480.0,600.0,19.0,25.0,18.0,25.0,18.0,25.0,Great Lakes Valley Conference,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily in person,1086,0.24585635359116023,1
328,Illinois,Rockford University,85.0,2.0,0.0,1246.0,152.0,607.0,639.0,86.0,53.0,480.0,570.0,480.0,570.0,18.0,25.0,16.0,25.0,16.0,23.0,Northern Athletics Collegiate Conference,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily online,1203,0.07065669160432253,1
329,Illinois,Saint Xavier University,211.0,2.0,1.0,5872.0,668.0,2000.0,3872.0,547.0,198.0,480.0,570.0,480.0,570.0,19.0,24.0,18.0,24.0,17.0,24.0,Mid-States Football Association,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily in person,3667,0.057540223616034905,1
330,Illinois,School of the Art Institute of Chicago,41.0,2.0,0.0,3656.0,619.0,774.0,2882.0,383.0,192.0,580.0,670.0,540.0,690.0,22.0,29.0,23.0,31.0,19.0,27.0,Not applicable,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Fully online,3639,0.011266831547128332,0
331,Illinois,Southern Illinois University Carbondale,239.0,4.0,1.0,3569.0,1037.0,1643.0,1923.0,717.0,565.0,520.0,630.0,510.0,620.0,21.0,28.0,21.0,29.0,19.0,27.0,Missouri Valley Conference,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily online,12817,0.01864710930795038,0
332,Illinois,Southern Illinois University Edwardsville,238.0,4.0,1.0,6259.0,1667.0,2433.0,3826.0,722.0,900.0,510.0,610.0,510.0,610.0,20.0,26.0,20.0,26.0,18.0,26.0,Not applicable,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily online,13281,0.01792033732399669,0
333,Illinois,University of Chicago,471.0,4.0,1.0,2137.0,1726.0,1075.0,1062.0,925.0,884.0,730.0,770.0,770.0,800.0,33.0,35.0,35.0,36.0,31.0,35.0,Midwest Conference,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Hybrid,17002,0.027702623220797553,0
334,Illinois,University of Illinois at Chicago,1220.0,5.0,1.0,16501.0,4407.0,6936.0,9565.0,3573.0,1252.0,510.0,620.0,520.0,640.0,21.0,28.0,21.0,30.0,20.0,28.0,Not applicable,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily online,31683,0.03850645456553988,0
335,Illinois,University of Illinois Springfield,177.0,2.0,1.0,1626.0,373.0,657.0,969.0,274.0,167.0,500.0,610.0,495.0,610.0,19.0,26.0,20.0,26.0,17.0,26.0,Not applicable,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily online,4575,0.038688524590163934,0
336,Illinois,University of Illinois Urbana-Champaign,4407.0,5.0,1.0,25684.0,7665.0,13183.0,12501.0,6030.0,4213.0,600.0,700.0,610.0,770.0,26.0,32.0,25.0,34.0,25.0,33.0,Big Ten Conference,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Hybrid,49702,0.08866846404571245,1
337,Illinois,Western Illinois University,292.0,3.0,1.0,4137.0,895.0,1624.0,2513.0,709.0,372.0,480.0,580.0,470.0,570.0,18.0,25.0,17.0,25.0,17.0,25.0,Missouri Valley Conference,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily in person,8502,0.034344860032933425,0
338,Illinois,Wheaton College - IL,10.0,2.0,1.0,1602.0,614.0,725.0,877.0,379.0,340.0,620.0,720.0,600.0,720.0,26.0,32.0,27.0,35.0,25.0,30.0,College Conference of Illinois and Wisconsin,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Hybrid,1760,0.005681818181818182,0
340,Indiana,Butler University,412.0,3.0,1.0,10896.0,1116.0,4619.0,6277.0,756.0,695.0,580.0,660.0,570.0,670.0,24.0,30.0,24.0,32.0,24.0,28.0,Pioneer Football League,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily online,5495,0.07497725204731574,1
341,Indiana,DePauw University,80.0,2.0,0.0,3176.0,423.0,1359.0,1817.0,305.0,210.0,560.0,660.0,570.0,700.0,23.0,30.0,23.0,31.0,23.0,28.0,North Coast Athletic Conference,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily in person,2156,0.03710575139146568,0
342,Indiana,Goshen College,131.0,1.0,1.0,827.0,160.0,298.0,529.0,140.0,39.0,500.0,603.0,510.0,603.0,21.0,29.0,20.0,30.0,19.0,29.0,Not applicable,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily in person,927,0.1413160733549083,1
343,Indiana,Hanover College,49.0,2.0,1.0,2027.0,290.0,795.0,1232.0,143.0,117.0,520.0,620.0,510.0,620.0,21.0,26.0,20.0,27.0,19.0,26.0,Heartland Collegiate Athletic Conference,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily in person,1104,0.044384057971014496,0
345,Indiana,Indiana University Bloomington,4190.0,5.0,1.0,33425.0,8291.0,15513.0,17912.0,6292.0,4689.0,580.0,670.0,570.0,690.0,24.0,31.0,23.0,33.0,24.0,30.0,Big Ten Conference,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily online,43503,0.09631519665310438,1
346,Indiana,Indiana University East,41.0,2.0,1.0,1448.0,451.0,478.0,970.0,271.0,201.0,470.0,580.0,460.0,560.0,17.0,23.0,16.0,22.0,17.0,24.0,Not applicable,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Hybrid,3722,0.011015583019881784,0
347,Indiana,Indiana University Kokomo,62.0,2.0,1.0,1718.0,637.0,573.0,1145.0,585.0,133.0,480.0,570.0,490.0,560.0,18.0,23.0,16.0,22.0,17.0,24.0,Not applicable,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily online,3123,0.01985270573166827,0
348,Indiana,Indiana University Northwest,52.0,2.0,1.0,1855.0,686.0,562.0,1293.0,541.0,197.0,460.0,560.0,450.0,540.0,17.0,22.0,16.0,23.0,17.0,23.0,Not applicable,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily online,3959,0.013134629957059864,0
349,Indiana,Indiana University South Bend,69.0,3.0,1.0,2299.0,854.0,785.0,1514.0,778.0,149.0,470.0,570.0,480.0,560.0,17.0,23.0,16.0,23.0,17.0,23.0,Not applicable,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Hybrid,5214,0.013233601841196778,0
350,Indiana,Indiana University Southeast,34.0,2.0,1.0,2319.0,948.0,760.0,1559.0,520.0,560.0,470.0,580.0,460.0,560.0,17.0,23.0,16.0,23.0,16.0,22.0,Not applicable,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Hybrid,5144,0.006609642301710731,0
351,Indiana,Indiana University-Purdue University Indianapolis,437.0,5.0,1.0,12150.0,4295.0,4619.0,7531.0,3814.0,1694.0,500.0,600.0,500.0,600.0,19.0,25.0,17.0,25.0,18.0,26.0,Not applicable,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Hybrid,29579,0.014773995064065723,0
353,Indiana,Marian University - IN,64.0,2.0,1.0,1554.0,385.0,587.0,967.0,301.0,204.0,490.0,590.0,480.0,590.0,18.0,25.0,17.0,26.0,17.0,25.0,Mid-States Football Association,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily in person,3592,0.017817371937639197,0
354,Indiana,Oakland City University,88.0,2.0,1.0,553.0,146.0,218.0,335.0,84.0,8.0,460.0,570.0,460.0,560.0,16.0,21.0,15.0,22.0,16.0,21.0,Not applicable,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Fully in person,1419,0.06201550387596899,1
355,Indiana,Purdue University,3611.0,5.0,1.0,33093.0,8195.0,18865.0,14228.0,6678.0,4077.0,590.0,690.0,600.0,750.0,25.0,32.0,24.0,34.0,26.0,33.0,Big Ten Conference,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily in person,44474,0.08119350631829833,1
356,Indiana,Purdue University Fort Wayne,277.0,4.0,1.0,5192.0,1609.0,2386.0,2806.0,1372.0,486.0,490.0,600.0,480.0,590.0,18.0,25.0,17.0,24.0,17.0,25.0,Not applicable,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Hybrid,10139,0.027320248545221422,0
357,Indiana,Purdue University Northwest,104.0,4.0,1.0,1620.0,1235.0,779.0,841.0,998.0,342.0,490.0,580.0,490.0,580.0,18.0,24.0,18.0,25.0,18.0,24.0,Not applicable,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Hybrid,10473,0.009930296954072377,0
358,Indiana,Rose-Hulman Institute of Technology,127.0,2.0,1.0,3228.0,502.0,2480.0,748.0,366.0,252.0,600.0,700.0,648.0,760.0,27.0,33.0,25.0,34.0,27.0,34.0,Heartland Collegiate Athletic Conference,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Hybrid,2142,0.05929038281979458,1
360,Indiana,Taylor University,135.0,2.0,1.0,1595.0,490.0,686.0,909.0,382.0,268.0,540.0,650.0,540.0,660.0,22.0,28.0,22.0,30.0,22.0,28.0,Mid-States Football Association,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Hybrid,2195,0.06150341685649203,1
361,Indiana,Trine University,288.0,2.0,1.0,3314.0,618.0,2012.0,1302.0,399.0,229.0,510.0,620.0,530.0,640.0,22.0,27.0,20.0,26.0,21.0,28.0,Michigan Intercollegiate Athletic Association,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily in person,4320,0.06666666666666667,1
362,Indiana,University of Evansville,181.0,2.0,1.0,2992.0,445.0,1093.0,1899.0,324.0,263.0,550.0,640.0,540.0,648.0,23.0,30.0,22.0,30.0,22.0,28.0,Not applicable,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily online,2443,0.07408923454768727,1
363,Indiana,University of Indianapolis,357.0,3.0,1.0,7086.0,1174.0,2517.0,4569.0,989.0,465.0,490.0,600.0,490.0,590.0,19.0,25.0,17.0,24.0,18.0,25.0,Great Lakes Valley Conference,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily online,5935,0.06015164279696714,1
365,Indiana,University of Southern Indiana,612.0,4.0,1.0,4306.0,1585.0,1394.0,2912.0,1339.0,646.0,490.0,590.0,490.0,580.0,19.0,25.0,18.0,25.0,19.0,25.0,Not applicable,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Hybrid,10986,0.05570726379027854,1
366,Indiana,Valparaiso University,121.0,2.0,1.0,4714.0,647.0,2192.0,2522.0,421.0,276.0,540.0,640.0,530.0,650.0,22.0,29.0,21.0,29.0,22.0,28.0,Pioneer Football League,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily in person,3786,0.031959852086634974,0
368,Indiana,Wabash College,47.0,1.0,0.0,839.0,229.0,839.0,0.0,188.0,128.0,560.0,650.0,560.0,670.0,23.0,29.0,21.0,28.0,23.0,29.0,North Coast Athletic Conference,Midwest,Paused,Lifted,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Primarily in person,882,0.05328798185941043,1
369,Iowa,Buena Vista University,43.0,2.0,1.0,1205.0,230.0,557.0,648.0,28.0,205.0,460.0,560.0,470.0,550.0,19.0,25.0,18.0,24.0,17.0,24.0,American Rivers Conference,Midwest,Reopened,-,Expanded to New Limit Above 25,Reopened to Dine-in Service,Reopened,Allows Local Officals to Require for General Public,Fully in person,1846,0.023293607800650054,0
370,Iowa,Central College,147.0,2.0,1.0,1749.0,337.0,861.0,888.0,63.0,273.0,485.0,610.0,490.0,625.0,19.0,25.0,18.0,26.0,17.0,24.0,American Rivers Conference,Midwest,Reopened,-,Expanded to New Limit Above 25,Reopened to Dine-in Service,Reopened,Allows Local Officals to Require for General Public,Primarily in person,1117,0.13160250671441362,1
371,Iowa,Clarke University,155.0,1.0,1.0,1008.0,134.0,614.0,394.0,48.0,100.0,470.0,560.0,470.0,560.0,18.0,23.0,17.0,22.0,17.0,24.0,Heart of America Athletic Conference,Midwest,Reopened,-,Expanded to New Limit Above 25,Reopened to Dine-in Service,Reopened,Allows Local Officals to Require for General Public,Primarily online,1004,0.15438247011952191,1
373,Iowa,Cornell College,91.0,2.0,0.0,1926.0,270.0,831.0,1095.0,79.0,154.0,540.0,675.0,560.0,670.0,23.0,29.0,22.0,30.0,22.0,27.0,Midwest Conference,Midwest,Reopened,-,Expanded to New Limit Above 25,Reopened to Dine-in Service,Reopened,Allows Local Officals to Require for General Public,Hybrid,1028,0.08852140077821012,1
374,Iowa,Drake University,81.0,2.0,1.0,4697.0,782.0,1833.0,2864.0,172.0,578.0,560.0,680.0,540.0,690.0,24.0,31.0,23.0,32.0,23.0,29.0,Pioneer Football League,Midwest,Reopened,-,Expanded to New Limit Above 25,Reopened to Dine-in Service,Reopened,Allows Local Officals to Require for General Public,Primarily in person,4869,0.0166358595194085,0
375,Iowa,Graceland University,173.0,2.0,1.0,1461.0,193.0,612.0,849.0,52.0,137.0,470.0,570.0,450.0,550.0,18.0,24.0,16.0,22.0,17.0,23.0,Heart of America Athletic Conference,Midwest,Reopened,-,Expanded to New Limit Above 25,Reopened to Dine-in Service,Reopened,Allows Local Officals to Require for General Public,Primarily in person,1993,0.0868038133467135,1
376,Iowa,Grand View University,208.0,2.0,1.0,1463.0,332.0,607.0,856.0,36.0,296.0,450.0,550.0,470.0,570.0,17.0,22.0,15.0,21.0,16.0,22.0,Heart of America Athletic Conference,Midwest,Reopened,-,Expanded to New Limit Above 25,Reopened to Dine-in Service,Reopened,Allows Local Officals to Require for General Public,Primarily in person,1886,0.1102863202545069,1
377,Iowa,Grinnell College,33.0,2.0,0.0,1847.0,460.0,851.0,996.0,252.0,207.0,670.0,740.0,700.0,790.0,31.0,34.0,32.0,35.0,27.0,33.0,Midwest Conference,Midwest,Reopened,-,Expanded to New Limit Above 25,Reopened to Dine-in Service,Reopened,Allows Local Officals to Require for General Public,Fully online,1716,0.019230769230769232,0
378,Iowa,Iowa State University,2496.0,5.0,1.0,16796.0,5597.0,8659.0,8137.0,965.0,4860.0,540.0,650.0,560.0,690.0,22.0,28.0,21.0,28.0,21.0,28.0,Big Twelve Conference,Midwest,Reopened,-,Expanded to New Limit Above 25,Reopened to Dine-in Service,Reopened,Allows Local Officals to Require for General Public,Primarily in person,34992,0.07133058984910837,1
379,Iowa,Iowa Wesleyan University,161.0,1.0,1.0,2133.0,152.0,836.0,1297.0,61.0,73.0,460.0,540.0,460.0,520.0,19.0,23.0,17.0,22.0,17.0,24.0,Upper Midwest Athletic Conference,Midwest,Reopened,-,Expanded to New Limit Above 25,Reopened to Dine-in Service,Reopened,Allows Local Officals to Require for General Public,Fully in person,616,0.26136363636363635,1
381,Iowa,Luther College,23.0,2.0,1.0,2558.0,527.0,1029.0,1529.0,99.0,440.0,510.0,635.0,520.0,630.0,22.0,28.0,21.0,28.0,21.0,27.0,American Rivers Conference,Midwest,Reopened,-,Expanded to New Limit Above 25,Reopened to Dine-in Service,Reopened,Allows Local Officals to Require for General Public,Hybrid,2005,0.011471321695760598,0
383,Iowa,Northwestern College,78.0,2.0,1.0,926.0,293.0,534.0,392.0,31.0,273.0,510.0,625.0,520.0,625.0,21.0,27.0,20.0,28.0,19.0,27.0,Great Plains Athletic Conference,Midwest,Reopened,-,Expanded to New Limit Above 25,Reopened to Dine-in Service,Reopened,Allows Local Officals to Require for General Public,Primarily in person,1299,0.06004618937644342,1
384,Iowa,Simpson College,98.0,2.0,1.0,1293.0,292.0,595.0,698.0,27.0,281.0,500.0,640.0,530.0,610.0,19.0,25.0,19.0,25.0,18.0,26.0,American Rivers Conference,Midwest,Reopened,-,Expanded to New Limit Above 25,Reopened to Dine-in Service,Reopened,Allows Local Officals to Require for General Public,Primarily in person,1444,0.06786703601108034,1
385,Iowa,University of Dubuque,50.0,2.0,1.0,1493.0,386.0,855.0,638.0,155.0,225.0,420.0,540.0,420.0,540.0,17.0,22.0,15.0,22.0,16.0,23.0,American Rivers Conference,Midwest,Reopened,-,Expanded to New Limit Above 25,Reopened to Dine-in Service,Reopened,Allows Local Officals to Require for General Public,Hybrid,2385,0.020964360587002098,0
386,Iowa,University of Iowa,3102.0,5.0,1.0,21404.0,4986.0,9252.0,12152.0,1440.0,4320.0,560.0,660.0,570.0,680.0,22.0,29.0,21.0,30.0,21.0,28.0,Big Ten Conference,Midwest,Reopened,-,Expanded to New Limit Above 25,Reopened to Dine-in Service,Reopened,Allows Local Officals to Require for General Public,Primarily in person,31656,0.09799090219863534,1
387,Iowa,University of Northern Iowa,546.0,4.0,1.0,3716.0,1465.0,1380.0,2336.0,35.0,1316.0,480.0,631.0,500.0,610.0,20.0,26.0,19.0,25.0,18.0,26.0,Missouri Valley Conference,Midwest,Reopened,-,Expanded to New Limit Above 25,Reopened to Dine-in Service,Reopened,Allows Local Officals to Require for General Public,Primarily in person,11187,0.04880665057656208,0
388,Iowa,Upper Iowa University,112.0,2.0,1.0,740.0,189.0,473.0,267.0,41.0,145.0,480.0,580.0,500.0,580.0,19.0,23.0,17.0,23.0,18.0,24.0,Northern Sun Intercollegiate Conference,Midwest,Reopened,-,Expanded to New Limit Above 25,Reopened to Dine-in Service,Reopened,Allows Local Officals to Require for General Public,Primarily in person,4392,0.025500910746812388,0
389,Iowa,Wartburg College,69.0,2.0,1.0,3019.0,398.0,1293.0,1726.0,35.0,332.0,520.0,620.0,520.0,600.0,21.0,26.0,20.0,26.0,20.0,26.0,American Rivers Conference,Midwest,Reopened,-,Expanded to New Limit Above 25,Reopened to Dine-in Service,Reopened,Allows Local Officals to Require for General Public,Primarily in person,1498,0.04606141522029372,0
390,Iowa,William Penn University,30.0,2.0,1.0,943.0,363.0,569.0,374.0,123.0,254.0,440.0,530.0,440.0,530.0,16.0,21.0,14.0,20.0,16.0,21.0,Heart of America Athletic Conference,Midwest,Reopened,-,Expanded to New Limit Above 25,Reopened to Dine-in Service,Reopened,Allows Local Officals to Require for General Public,Fully in person,1279,0.023455824863174355,0
391,Kansas,Baker University,110.0,2.0,1.0,739.0,245.0,298.0,441.0,19.0,228.0,490.0,580.0,510.0,590.0,20.0,25.0,20.0,25.0,19.0,25.0,Heart of America Athletic Conference,Midwest,Reopened,Lifted,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,Primarily in person,2769,0.03972553268327916,0
392,Kansas,Benedictine College,130.0,2.0,1.0,2172.0,524.0,993.0,1179.0,133.0,381.0,550.0,650.0,510.0,660.0,21.0,28.0,21.0,31.0,19.0,27.0,Heart of America Athletic Conference,Midwest,Reopened,Lifted,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,Primarily in person,2124,0.06120527306967985,1
394,Kansas,Bethel College,147.0,1.0,1.0,542.0,155.0,362.0,180.0,51.0,107.0,460.0,550.0,470.0,580.0,18.0,24.0,16.0,22.0,17.0,25.0,Kansas Collegiate Athletic Conference,Midwest,Reopened,Lifted,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,Fully in person,444,0.3310810810810811,1
396,Kansas,Emporia State University,242.0,3.0,1.0,1414.0,680.0,469.0,945.0,23.0,622.0,480.0,515.0,470.0,540.0,19.0,25.0,18.0,25.0,18.0,24.0,Mid-America Intercollegiate Athletic Association,Midwest,Reopened,Lifted,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,Primarily in person,5796,0.04175293305728088,0
401,Kansas,Kansas Wesleyan University,47.0,1.0,1.0,753.0,141.0,384.0,369.0,29.0,111.0,490.0,563.0,480.0,550.0,19.0,24.0,17.0,23.0,18.0,24.0,Kansas Collegiate Athletic Conference,Midwest,Reopened,Lifted,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,Hybrid,741,0.06342780026990553,1
