college,class_plan,total_enrollment
Kettering College,Hybrid,839
Kettering University,Primarily in person,2315
Keuka College,Primarily in person,1926
Keystone College,Hybrid,1424
King University,Primarily in person,1948
King's College,Primarily in person,2569
King's University,Hybrid,660
Knox College,Hybrid,1333
Kutztown University of Pennsylvania,Hybrid,8290
Kuyper College,Hybrid,161
La Roche University,Primarily online,1443
La Salle University,Fully online,5191
La Sierra University,Hybrid,2339
Laboure College,Primarily online,845
Lackawanna College,Primarily online,1873
Lafayette College,Fully online,2642
LaGrange College,Primarily in person,1029
Laguna College of Art & Design,Undetermined,758
Lake Erie College,Primarily in person,1160
Lake Forest College,Fully online,1512
Lake Michigan College,Hybrid,3202
Lake Superior State University,Primarily in person,1991
Lake Washington Institute of Technology,Primarily online,3670
Lake-Sumter State College,Primarily online,4812
Lakeland University,Primarily online,2497
Lamar University,Primarily in person,14783
Lancaster Bible College,Primarily in person,2122
Lander University,Hybrid,3044
Landmark College,Primarily in person,519
Lane College,Hybrid,1232
Langston University,Primarily online,2119
Lasell College,Hybrid,2060
Lawrence Technological University,Primarily online,2915
Lawrence University,Hybrid,1463
Le Moyne College,Primarily in person,3356
Lebanon Valley College,Primarily in person,1922
Lee University,Fully in person,5386
Lees-McRae College,Primarily in person,966
Lehigh University,Primarily online,6849
LeMoyne-Owen College,Fully online,885
Lenoir-Rhyne University,Primarily in person,2700
Lesley University,Primarily online,4838
LeTourneau University,Primarily in person,3175
Lewis & Clark College,Hybrid,3396
Lewis University,Primarily online,6440
Lewis-Clark State College,Primarily in person,3684
Liberty University,Primarily in person,79152
Life Pacific College,Fully online,619
Life UniversityCobb,Other,2746
Limestone College,Primarily in person,2442
Lincoln Christian University,Primarily in person,714
Lincoln College,Primarily online,968
Lincoln Memorial University,Primarily in person,4798
Lincoln University - MO,Primarily in person,2478
Lincoln University - PA,Primarily online,2376
Lindenwood University,Hybrid,9468
Lindsey Wilson College,Primarily in person,2589
Linfield College,Primarily in person,1376
Lipscomb University,Primarily in person,4620
Livingstone College,Hybrid,1148
Lock Haven University,Primarily online,3418
Logan University,Primarily in person,1582
Long Island University-C.W,Primarily in person,15196
Longwood University,Primarily in person,4911
Longy School of Music of Bard College,Hybrid,244
Lorain County Community College,Primarily online,10644
Loras College,Hybrid,1489
Los Angeles Pacific University,Fully online,2360
Louisiana College,Primarily online,1245
Louisiana State University at Alexandria,Primarily in person,3164
Louisiana State University,Primarily online,30983
Louisiana State University at Shreveport,Primarily in person,7036
Louisiana Tech University,Primarily in person,11909
Lourdes University,Primarily in person,1444
Loyola Marymount University,Primarily online,9838
Loyola University Chicago,Fully online,17007
Loyola University Maryland,Fully online,5645
Loyola University New Orleans,Primarily online,4261
Lubbock Christian University,Primarily in person,1805
Luther College,Hybrid,2005
Luther Rice College and Seminary,Primarily in person,919
Lycoming College,Primarily in person,1142
Lynchburg General Hospital School of Nursing,Fully online,369
Lynn University,Primarily in person,3093
Lyon College,Fully online,655
Macalester College,Primarily online,2174
Machzikei Hadath Rabbinical College,Other,149
MacMurray College,Other,548
Madison Area Technical College,Hybrid,15250
Madonna University,Primarily in person,3044
Maharishi University of Management,Primarily online,1589
Maine College of Art,Hybrid,462
Maine Maritime Academy,Primarily online,997
Malone University,Hybrid,1667
Manchester University,Primarily in person,1525
Manhattan Christian College,Primarily in person,232
Manhattan College,Hybrid,4232
Manhattan School of Music,Primarily in person,1008
Manhattanville College,Primarily online,2494
Manor College,Fully in person,747
Mansfield University of Pennsylvania,Primarily in person,1629
Maple Springs Baptist Bible College & Seminary,Primarily in person,51
Maranatha Baptist University,Fully in person,1035
Maria College of Albany,Primarily in person,912
Marian University - WI,Primarily in person,1819
Marian University - IN,Primarily in person,3592
Marietta College,Hybrid,1130
Marist College,Primarily in person,6624
Marlboro College,Other,142
Marquette University,Hybrid,11605
Mars Hill University,Primarily online,1154
Marshall University,Primarily online,13204
Martin Luther College,Primarily in person,972
Martin Methodist College,Primarily online,910
Martin University,Undetermined,318
Mary Baldwin University,Primarily in person,1902
Maryland Institute College of Art,Fully online,2178
Marymount California University,Fully online,761
Marymount Manhattan College,Primarily online,2063
Marymount University,Hybrid,3418
Maryville College,Primarily in person,1146
Maryville University of Saint Louis,Hybrid,9139
Marywood University,Hybrid,2853
Massachusetts College of Art and Design,Hybrid,2087
Massachusetts College of Liberal Arts,Hybrid,1452
Massachusetts Institute of Technology,Primarily online,11574
Massachusetts Maritime Academy,Primarily in person,1802
Master's University and Seminary,Primarily in person,2057
Mayville State University,Hybrid,1184
McDaniel College,Primarily online,2780
McKendree University,Primarily in person,2494
McMurry University,Hybrid,1132
McNeese State University,Primarily in person,7647
McPherson College,Hybrid,819
MCPHS University,Hybrid,7064
Mechon L'hoyroa,Fully online,45
Medaille College,Primarily in person,2146
Menlo College,Fully online,775
Mercer University,Fully in person,8740
Mercy College,Hybrid,9031
Mercy College of Health Sciences,Primarily in person,727
Mercy College of Ohio,Primarily online,1511
Mercyhurst University,Hybrid,2685
Meredith College,Primarily in person,1905
Merrimack College,Hybrid,4643
Mesivta of Eastern Parkway Rabbinical Seminary,Other,36
Mesivta Tifereth Jerusalem of America,Primarily in person,65
Mesivta Torah Vodaath Seminary,Fully online,318
Messenger College,Hybrid,45
Messiah College,Hybrid,3375
Methodist College,Primarily online,692
Methodist University,Fully in person,2092
Metropolitan College of New York,Primarily online,1027
Metropolitan State University,Primarily online,7861
Metropolitan State University of Denver,Hybrid,20192
Miami Dade College,Other,54973
Miami University (Ohio),Primarily online,19934
Miami University at Hamilton,Primarily online,2651
Miami University at Middletown,Primarily in person,1831
Michigan State University,Fully online,50351
Michigan Technological University,Primarily in person,7172
Mid-America Christian University,Primarily in person,1938
Mid-America College of Funeral Service,Undetermined,122
Mid-Atlantic Christian University,Primarily in person,196
Mid-South Christian College,Primarily online,28
MidAmerica Nazarene University,Fully in person,1875
Middle Georgia State University,Primarily in person,7802
Middle Tennessee State University,Hybrid,21631
Middlebury College,Hybrid,2611
Midland College,Primarily online,5452
Midland UniversityDodge County,Primarily in person,1873
Midway University,Primarily in person,1668
Midwestern Baptist Theological Seminary,Hybrid,2797
Midwestern State University,Primarily online,6102
Midwives College of Utah,Fully online,262
Miles College,Primarily in person,1550
Millersville University of Pennsylvania,Primarily online,7746
Milligan College,Hybrid,1225
Millikin University,Hybrid,2094
Mills College,Primarily online,1257
Millsaps College,Primarily in person,865
Milwaukee Institute of Art & Design,Hybrid,756
Milwaukee School of Engineering,Hybrid,2820
Minneapolis College of Art and Design,Hybrid,854
Minnesota State University at Mankato,Hybrid,14374
Minnesota State University at Moorhead,Hybrid,5860
Minot State University,Primarily in person,3189
MiraCosta Community College District,Primarily online,13720
Mirrer Yeshiva Central Institute,Other,172
Misericordia University,Primarily in person,2566
Mississippi College,Primarily online,5103
Mississippi State University,Hybrid,21974
Mississippi University for Women,Primarily online,2711
Mississippi Valley State University,Primarily online,2285
Missouri Baptist University,Primarily online,5292
Missouri Southern State University,Primarily in person,6006
Missouri State University,Hybrid,23697
Missouri University of Science and Technology,Primarily in person,8601
Missouri Valley College,Primarily in person,1867
Missouri Western State University,Primarily in person,5669
Mitchell College,Primarily in person,665
Modesto Junior College,Fully online,17908
Molloy College,Primarily in person,4929
Monmouth College,Primarily online,914
Monmouth University,Primarily in person,6167
Montana State University at Billings,Primarily in person,4315
Montana State University,Primarily in person,16814
Montana State University-Northern,Primarily online,1090
Montana Technological University,Fully in person,1844
Montclair State University,Primarily online,21115
Montreat College,Hybrid,921
Montserrat College of Art,Primarily online,367
Moody Bible Institute,Primarily online,3086
Moore College of Art and Design,Primarily online,397
Moravian College,Hybrid,2514
Morehead State University,Hybrid,10195
Morehouse College,Fully online,2206
Morgan State University,Fully online,7712
Morningside College,Primarily in person,2698
Morris College,Fully online,649
Mount Aloysius College,Primarily in person,1784
Mount Angel Seminary,Undetermined,165
Mount Carmel College of Nursing,Primarily online,1090
Mount Holyoke College,Fully online,2335
Mount Marty College,Fully in person,1044
Mount Mary University,Primarily online,1339
Mount Mercy University,Primarily in person,1835
Mount Saint Mary College,Hybrid,2352
Mount Saint Mary's University,Hybrid,2965
Mount St. Joseph University,Primarily online,2162
Mount St. Mary's University,Hybrid,2406
Mount Vernon Nazarene University,Primarily in person,2243
Muhlenberg College,Fully online,2340
Multnomah University,Primarily in person,695
Murray State University,Primarily in person,9454
Muskingum University,Fully in person,2412
Naropa University,Hybrid,953
National University,Fully online,16930
National-Louis University,Primarily online,5992
Navajo Technical University,Primarily online,1600
Nazarene Bible College,Fully online,731
Nazareth College of Rochester,Hybrid,2987
Nebraska Christian College,Other,134
Nebraska Methodist College,Primarily in person,1102
Nebraska Wesleyan University,Primarily in person,2095
Ner Israel Rabbinical College,Fully in person,419
Neumann University,Primarily online,2598
Nevada State College,Primarily online,4930
New College of Florida,Primarily online,837
New England College,Primarily online,2521
New England Conservatory of Music,Primarily online,838
New England Institute of Technology,Primarily online,2763
New Hampshire Institute of Art,Primarily online,337
New Hope Christian College at Eugene,Undetermined,92
New Jersey City University,Hybrid,7991
New Jersey Institute of Technology,Hybrid,11423
New Mexico Highlands University,Primarily online,3037
New Mexico Institute of Mining and Technology,Primarily online,1895
New Mexico State University,Hybrid,14289
New School,Fully online,10544
New York College of Health Professions,Undetermined,473
New York Institute of Technology,Primarily online,7173
New York School of Interior Design,Hybrid,537
New York University,Hybrid,51847
Newberry College,Primarily in person,1208
Newbury College,Other,636
Newman University,Fully in person,3373
Niagara University,Fully in person,3763
Nicholls State University,Primarily online,6453
Nichols College,Primarily in person,1592
Norfolk State University,Primarily online,5204
North American University,Hybrid,558
North Carolina A&T State University,Primarily in person,12142
North Carolina Central University,Hybrid,8207
North Carolina State University,Fully online,35479
North Carolina Wesleyan College,Primarily in person,2034
North Central College,Primarily in person,2928
North Central University,Primarily online,1115
North Dakota State University,Hybrid,13796
North Florida Community College,Hybrid,1229
North Greenville University,Primarily in person,2578
North Park University,Primarily in person,2900
North Seattle College,Primarily online,5929
Northeast Catholic College,Undetermined,83
Northeastern Illinois University,Primarily online,8103
Northeastern State University,Hybrid,7879
Northeastern University,Hybrid,21627
Northern Arizona University,Primarily online,31066
Northern Illinois University,Primarily online,17169
Northern Kentucky University,Hybrid,14764
Northern Michigan University,Primarily in person,7595
Northern New Mexico College,Fully online,926
Northern State University,Fully in person,3493
Northland College,Primarily in person,582
Northwest Christian University,Primarily in person,800
Northwest Florida State College,Primarily in person,5497
Northwest Indian College,Fully online,535
Northwest Missouri State University,Hybrid,6857
Northwest Nazarene University,Primarily in person,2201
Northwest University,Hybrid,1321
Northwest University-College of Adult and Professional Studies,Hybrid,1155
Northwestern College,Primarily in person,1299
Northwestern Health Sciences University,Primarily online,936
Northwestern Michigan College,Primarily in person,3727
Northwestern Oklahoma State University,Primarily online,1992
Northwestern State University,Primarily in person,11081
Northwestern University,Primarily online,22127
Northwood University,Fully in person,3177
Norwich University,Primarily in person,3986
Notre Dame College,Hybrid,1700
Notre Dame de Namur University,Fully online,1492
Notre Dame of Maryland University,Hybrid,2371
Nova Southeastern University,Hybrid,20435
Nyack College,Primarily online,2351
Oak Hills Christian College,Hybrid,98
Oakland City University,Fully in person,1419
Oakland University,Primarily online,19309
Oakwood University,Primarily in person,1636
Oberlin College,Primarily online,2812
Occidental College,Fully online,1930
Oglala Lakota College,Fully online,1300
Oglethorpe University,Fully online,1264
Ohio Christian University,Primarily in person,3660
Ohio Dominican University,Primarily in person,1716
Ohio Northern University,Primarily in person,3039
Ohio State University,Hybrid,61170
Ohio State University at Lima,Hybrid,1010
Ohio State University at Mansfield,Hybrid,1099
Ohio State University at Marion,Hybrid,1252
Ohio State University at Newark,Hybrid,2882
Ohio University,Primarily online,28480
Ohio University at Chillicothe,Hybrid,1586
Ohio University at Zanesville,Hybrid,1103
Ohio University Eastern,Hybrid,512
Ohio University Lancaster,Hybrid,1568
Ohio University Southern,Hybrid,1235
Ohio Valley University,Primarily in person,509
Ohio Wesleyan University,Primarily in person,1561
Ohr Hameir Theological Seminary,Other,94
Oikos University,Other,86
Oklahoma Baptist University,Fully in person,2011
Oklahoma Christian University,Primarily in person,2228
Oklahoma City University,Primarily in person,2773
Oklahoma Panhandle State University,Primarily online,1262
Oklahoma State University at Oklahoma City,Primarily online,5701
Oklahoma State University,Primarily in person,24690
Oklahoma State University Institute of Technology at Okmulgee,Primarily in person,2401
Oklahoma Wesleyan University,Fully in person,1096
Old Dominion University,Primarily in person,24176
Olivet College,Primarily in person,1098
Olivet Nazarene University,Primarily in person,4655
Olympic College,Primarily online,6620
Oral Roberts University,Hybrid,4053
Oregon College of Art and Craft,Undetermined,137
Oregon Institute of Technology,Primarily online,5335
Oregon State University,Primarily online,30986
Oregon State University at Cascades,Hybrid,1259
Otis College of Art and Design,Primarily in person,1144
Ottawa University,Fully in person,754
Ottawa University-Surprise,Primarily in person,655
Otterbein University,Primarily online,2886
Ouachita Baptist University,Primarily online,1660
Our Lady of the Lake University,Primarily in person,3149
Ozark Christian College,Fully online,608
Pace University,Primarily online,13326
Pacific Lutheran University,Hybrid,3207
Pacific Northwest College of Art,Hybrid,574
Pacific Oaks College,Fully online,1111
Pacific Rim Christian University,Hybrid,152
Pacific States University,Other,62
Pacific Union College,Fully online,1062
Pacific University,Primarily in person,3938
Paine College,Fully online,469
Palm Beach Atlantic University,Primarily in person,3705
Palm Beach State College,Primarily online,31816
Palmer College of Chiropractic,Primarily online,2179
Park University,Primarily online,11415
Parker University,Fully online,1435
Pasco-Hernando Community College,Primarily online,11525
Paul Quinn College,Fully online,550
Paul Smith's College,Primarily in person,745
Peirce College,Fully online,1357
Peninsula College,Undetermined,2052
Pennsylvania Academy of the Fine Arts,Hybrid,273
Pennsylvania College of Art & Design,Primarily online,251
Pennsylvania College of Health Sciences,Primarily in person,1800
Pennsylvania College of Technology,Primarily in person,5322
Penn State University at Abington,Hybrid,3746
Penn State University at Altoona,Hybrid,3244
Penn State University at DuBois,Hybrid,564
Penn State University at Behrend,Hybrid,4312
Penn State University at Hazleton,Hybrid,676
Penn State University at Mont Alto,Hybrid,830
Penn State University,Hybrid,46810
Penn State University at York,Hybrid,948
Penn State University-Beaver,Hybrid,622
Penn State University-Berks,Hybrid,2578
Penn State University-Brandywine,Hybrid,1351
Penn State University-Fayette,Hybrid,640
Penn State University-Greater Allegheny,Hybrid,462
Penn State University-Harrisburg,Hybrid,4933
Penn State University-Lehigh Valley,Hybrid,912
Penn State University-New Kensington,Hybrid,585
Penn State University-Schuylkill,Hybrid,609
Penn State University-Shenango,Hybrid,419
Penn State University-Wilkes-Barre,Hybrid,438
Penn State University-World Campus,Fully online,14458
Penn State University-Scranton,Hybrid,992
Pensacola State College,Primarily online,9773
Pepperdine University,Fully online,7961
Peru State College,Primarily in person,2114
Pfeiffer University,Primarily in person,1365
Philander Smith College,Undetermined,1000
Phillips School of Nursing at Mount Sinai Beth Israel,Fully online,199
Piedmont College,Primarily in person,2449
Pierce College-Fort Steilacoom,Primarily online,6067
Pikes Peak Community College,Primarily online,13204
Pillar College,Hybrid,584
Pine Manor College,Primarily online,423
Pittsburg State University,Hybrid,6625
Pittsburgh Technical Institute,Primarily online,1651
Pitzer College,Fully online,1072
Plymouth State University,Hybrid,5059
Point Loma Nazarene University,Hybrid,4592
Point Park University,Hybrid,4099
Point University,Primarily in person,2248
Polk State College,Primarily online,10591
Polytechnic University of Puerto Rico at Miami,Other,162
Polytechnic University of Puerto Rico at Orlando,Other,214
Pomona College,Fully online,1573
Pontifical College Josephinum,Undetermined,150
Portland State University,Primarily online,25711
Potomac State College of West Virginia University,Primarily in person,1340
Prairie View A&M University,Primarily in person,9516
Pratt Institute,Primarily online,5015
Presbyterian College,Primarily in person,1330
Presbyterian Theological Seminary in America,Other,196
Prescott College,Primarily in person,827
Presentation College,Fully in person,700
Princeton University,Fully online,8374
Providence Christian College,Hybrid,171
Providence College,Fully online,4674
Pueblo Community College,Hybrid,6197
Purdue University,Primarily in person,44474
Purdue University Fort Wayne,Hybrid,10139
Purdue University Northwest,Hybrid,10473
Queens University of Charlotte,Fully online,2536
Quincy University,Primarily in person,1086
Quinnipiac University,Primarily in person,10207
Rabbi Jacob Joseph School,Other,57
Rabbinical Academy Mesivta Rabbi Chaim Berlin,Other,312
Rabbinical College Beth Shraga,Other,47
Rabbinical College Bobover Yeshiva B'nei Zion,Other,386
Rabbinical College of America,Other,230
Rabbinical College of Long Island,Other,156
Rabbinical College of Telshe,Other,60
Rabbinical College Ohr Shimon Yisroel,Other,218
Rabbinical College Ohr Yisroel,Other,122
Rabbinical Seminary of America,Other,472
Radford University,Primarily in person,9335
Ramapo College of New Jersey,Primarily online,6174
Randall University,Primarily in person,317
Randolph College,Primarily online,626
Randolph-Macon College,Primarily online,1488
Ranken Technical College,Fully in person,1698
Red Rocks Community College,Primarily online,7384
Reed College,Hybrid,1503
Reformed University,Primarily in person,139
Regent University,Primarily in person,9889
Regis College,Primarily online,2757
Regis University,Hybrid,7907
Reinhardt University,Hybrid,1566
Remington College at Dallas,Fully online,779
Remington College at Fort Worth,Fully online,474
Remington College at Heathrow,Fully online,325
Remington College at Honolulu,Fully online,131
Remington College at Memphis,Fully online,611
Remington College at Mobile,Fully online,313
Remington College at Shreveport,Hybrid,301
Remington College-North Houston Campus,Fully online,448
Rensselaer Polytechnic Institute,Primarily online,7895
Renton Technical College,Fully online,3546
Rhode Island College,Primarily online,7766
Rhode Island School of Design,Primarily online,2467
Rhodes College,Fully online,2036
Rice University,Hybrid,7124
Rider University,Primarily online,4824
Ringling College of Art and Design,Primarily online,1561
Rio Hondo College,Fully online,19997
Ripon College,Hybrid,807
Rivier University,Primarily in person,2319
Roanoke College,Hybrid,2014
Robert Morris University,Primarily online,4895
Robert Morris University Illinois,Primarily online,1934
Roberts Wesleyan College,Primarily online,1739
Rochester Institute of Technology,Primarily in person,16463
Rochester University,Hybrid,1098
Rockford University,Primarily online,1203
Rockhurst University,Primarily online,3145
Rocky Mountain College,Primarily in person,997
Roger Williams University,Primarily in person,4860
Rogers State University,Primarily in person,3633
Rollins College,Hybrid,3127
Roosevelt University,Primarily online,4329
Rose-Hulman Institute of Technology,Hybrid,2142
Rosemont College,Hybrid,945
Rowan University,Primarily in person,19465
Rust College,Hybrid,846
Rutgers University,Primarily online,7171
Rutgers University at New Brunswick,Primarily online,50254
Rutgers University at Newark,Primarily online,13451
Sacred Heart Major Seminary,Primarily in person,480
Sacred Heart University,Primarily in person,8958
Sage Colleges,Hybrid,2633
Saginaw Valley State University,Primarily in person,8515
Saint Anselm College,Primarily in person,2024
Saint Anthony College of Nursing,Undetermined,303
Saint Augustine's University,Hybrid,767
Saint Charles Borromeo Seminary,Fully in person,227
Saint Francis University,Hybrid,2611
Saint John's Seminary,Primarily online,143
Saint John's University,Hybrid,1777
Saint Joseph Seminary College,Fully in person,143
Saint Joseph's College,Primarily online,1179
Saint Joseph's College of Maine,Primarily online,2106
Saint Joseph's University,Hybrid,7589
Saint Leo University,Hybrid,11808
Saint Louis Christian College,Primarily online,90
Saint Louis University,Primarily in person,14438
Saint Martin's University,Hybrid,1607
Saint Mary-of-the-Woods College,Fully in person,1035
Saint Mary's College,Primarily in person,1611
Saint Mary's College of California,Primarily online,3881
Saint Mary's University of Minnesota,Primarily online,5560
Saint Michael's College,Primarily in person,1950
Saint Peter's University,Fully online,3452
Saint Vincent College,Hybrid,1867
Saint Xavier University,Primarily in person,3667
Salem College,Fully online,842
Salem State University,Hybrid,8338
Salisbury University,Hybrid,8567
Salish Kootenai College,Undetermined,720
Salve Regina University,Primarily in person,2647
Sam Houston State University,Hybrid,21213
Samford University,Hybrid,5619
San Diego Christian College,Hybrid,525
San Diego Mesa College,Primarily online,22284
San Diego State University System,Primarily online,35303
San Francisco Art Institute,Undetermined,381
San Francisco Conservatory of Music,Hybrid,398
San Francisco State University,Primarily online,29778
San Jose State University,Primarily online,35400
Santa Ana College,Primarily online,28425
Santa Clara University,Primarily online,8642
Santa Fe College,Hybrid,14324
Santa Monica College,Fully online,28800
Sarah Lawrence College,Primarily online,1709
Savannah College of Art and Design,Fully online,14086
Savannah State University,Undetermined,4077
School of the Art Institute of Chicago,Fully online,3639
Schoolcraft College,Hybrid,9895
Schreiner University,Primarily in person,1418
Scripps College,Fully online,1071
Seattle Central College,Primarily online,6802
Seattle Pacific University,Hybrid,3688
Seattle University,Primarily online,7291
Selma University,Other,317
Seminole State College of Florida,Primarily online,18104
Seton Hall University,Hybrid,10162
Seton Hill University,Primarily in person,2297
Sewanee: The University of the South,Hybrid,1785
Sh'or Yoshuv Rabbinical College,Other,160
Shasta Bible College and Graduate School,Primarily in person,52
Shasta College,Hybrid,9105
Shaw University,Hybrid,1411
Shawnee State University,Hybrid,3253
Shenandoah University,Hybrid,3817
Shepherd University at Shepherdstown,Primarily in person,3648
Shiloh University,Fully online,42
Shippensburg University of Pennsylvania,Primarily online,6381
Shorter University,Other,1452
Siena College,Primarily in person,3221
Siena Heights University,Primarily in person,2433
Sierra Nevada College,Primarily online,889
Silver Lake College of the Holy Family,Other,444
Simmons College of Kentucky,Fully online,210
Simmons University,Fully online,6082
Simpson College,Primarily in person,1444
Simpson University,Hybrid,834
Sinte Gleska University,Fully online,583
Sitting Bull College,Hybrid,273
Skagit Valley College,Primarily online,5159
Skidmore College,Hybrid,2613
Skyline College,Primarily online,9014
Slippery Rock University of Pennsylvania,Primarily online,8803
Smith College,Fully online,2903
Snow College,Fully in person,5514
Soka University of America,Fully online,442
Solano Community College,Primarily online,9378
Sonoma State University,Primarily online,9459
South Carolina State University,Hybrid,3022
South Dakota School of Mines and Technology,Hybrid,2654
South Dakota State University,Hybrid,12104
South Florida Bible College,Fully online,478
South Florida State College,Other,2910
South Georgia State College,Fully in person,2482
South Seattle College,Primarily online,6177
South Texas College,Hybrid,31949
Southeast Missouri Hospital College of Nursing and Health Sciences,Undetermined,175
Southeast Missouri State University,Primarily in person,11071
Southeastern Baptist College,Undetermined,72
Southeastern Baptist Theological Seminary,Primarily in person,3140
Southeastern Louisiana University,Hybrid,14298
Southeastern Oklahoma State University,Hybrid,4542
Southeastern University,Hybrid,8755
Southern Adventist University,Fully in person,2942
Southern Arkansas University,Undetermined,4472
Southern California Institute of Architecture,Primarily online,506
Southern California Seminary,Fully online,197
Southern California University of Health Sciences,Primarily online,1211
Southern Connecticut State University,Primarily online,10050
Southern Illinois University at Carbondale,Primarily online,12817
Southern Illinois University at Edwardsville,Primarily online,13281
Southern Methodist University,Hybrid,11649
Southern Nazarene University,Primarily in person,2081
Southern New Hampshire University,Fully online,104068
Southern Oregon University,Primarily in person,6278
Southern University,Hybrid,6693
Southern University at New Orleans,Hybrid,2356
Southern Utah University,Primarily online,10196
Southern Vermont College,Other,351
Southern Virginia University,Primarily in person,1023
Southern Wesleyan University,Fully online,1551
Southwest Baptist University,Primarily in person,3357
Southwest Minnesota State University,Primarily online,7167
Southwestern Adventist University,Primarily in person,879
Southwestern Assemblies of God University,Primarily in person,2102
Southwestern Christian College,Hybrid,87
Southwestern Christian University,Hybrid,598
Southwestern College,Hybrid,1514
Southwestern Oklahoma State University,Primarily in person,5267
Southwestern University,Primarily in person,1434
Spalding University,Hybrid,1758
Spelman College,Fully online,2171
Spokane Community College,Primarily in person,10375
Spokane Falls Community College,Primarily online,5184
Spring Arbor University,Primarily in person,3436
Spring Hill College,Hybrid,1379
Springfield College,Primarily in person,3139
St. Ambrose University,Primarily in person,3045
St. Andrews University,Undetermined,683
St. Augustine College,Undetermined,1098
St. Bonaventure University,Primarily in person,2379
St. Catherine University,Primarily online,4859
St. Cloud State University,Primarily online,13928
St. Edward's University,Hybrid,4301
St. Francis College,Primarily online,2413
St. John Fisher College,Primarily in person,3712
St. John Vianney College Seminary,Fully in person,62
St. John's College,Fully online,371
St. John's College,Fully online,527
St. John's University,Hybrid,21635
St. Johns River State College,Hybrid,7503
St. Joseph's College-Long Island,Primarily online,4115
St. Lawrence University,Hybrid,2522
St. Louis College of Pharmacy,Fully in person,1195
St. Luke's College,Other,273
St. Mary's College of Maryland,Primarily in person,1582
St. Mary's University,Primarily online,3648
St. Norbert College,Primarily online,2228
St. Olaf College,Primarily in person,3048
St. Petersburg College,Primarily online,29183
St. Thomas Aquinas College,Primarily in person,2000
St. Thomas University,Primarily in person,4227
Stanford University,Primarily online,17381
"State College of Florida, Manatee-Sarasota",Hybrid,10229
State University of New York,Hybrid,9970
SUNY Fredonia,Hybrid,4655
SUNY Morrisville,Hybrid,2986
SUNY New Paltz,Primarily online,7608
SUNY Cortland,Primarily online,6858
SUNY Geneseo,Hybrid,5612
SUNY Old Westbury,Fully online,5087
SUNY Oneonta,Fully online,6543
SUNY Oswego,Fully online,7986
SUNY Plattsburgh,Hybrid,5704
State University of New York College at Potsdam,Primarily online,3521
SUNY Purchase College,Primarily online,4234
SUNY Cobleskill,Primarily in person,2278
SUNY College of Environmental Science and Forestry,Primarily online,2220
SUNY Canton,Hybrid,3213
SUNY Delhi,Primarily online,3232
SUNY Empire State College,Primarily online,10424
SUNY Maritime College,Primarily in person,1734
SUNY Polytechnic Institute,Primarily online,3023
SUNY Brockport,Hybrid,8287
Stephen F. Austin State University,Hybrid,13144
Stephens College,Hybrid,756
Sterling College - KA,Primarily in person,651
Sterling College - VT,Primarily in person,136
Stetson University,Hybrid,4341
Stevens Henager College at Ogden,Other,200
Stevens Institute of Technology,Hybrid,6929
Stevens-Henager College at Boise,Other,225
Stevens-Henager College at Logan,Other,61
Stevens-Henager College at Salt Lake City,Other,399
Stevens-Henager College at St. George,Other,93
Stevens-Henager College of Business,Other,125
Stevenson University,Fully online,3615
Stillman College,Hybrid,797
Stockton University,Hybrid,9621
Stone Child College,Undetermined,444
Stonehill College,Hybrid,2556
Stony Brook University,Primarily online,26256
Suffolk University,Primarily online,7186
Sul Ross State University,Primarily in person,2739
SUM Bible College and Theological Seminary,Fully online,636
Summit Christian College,Undetermined,27
Susquehanna University,Primarily in person,2396
Swarthmore College,Primarily online,1559
Sweet Briar College,Primarily in person,337
Syracuse University,Hybrid,22803
Tabor College,Hybrid,713
Tacoma Community College,Primarily online,6242
Talladega College,Hybrid,1212
Tallahassee Community College,Hybrid,11914
Talmudic College of Florida,Other,22
Talmudical Academy of New Jersey,Other,58
Talmudical Institute of Upstate New York,Other,14
Talmudical Seminary of Bobov,Other,395
Talmudical Seminary Oholei Torah,Other,310
Talmudical Yeshiva of Philadelphia,Other,123
Tarleton State University,Primarily in person,13109
Taylor University,Hybrid,2195
Telshe Yeshiva at Chicago,Other,88
Temple University,Primarily online,39740
Tennessee State University,Hybrid,7774
Tennessee Technological University,Primarily in person,10186
Tennessee Wesleyan University,Primarily in person,1008
Texas A&M International University,Primarily in person,7884
Texas A&M University at College Station,Primarily in person,68679
Texas A&M University at Commerce,Primarily in person,12411
Texas A&M University at Corpus Christi,Primarily in person,11929
Texas A&M University at Kingsville,Primarily in person,8541
Texas A&M University at San Antonio,Primarily in person,6557
Texas A&M University at Texarkana,Primarily in person,2097
Texas Christian University,Hybrid,10918
Texas College,Fully online,1042
Texas Lutheran University,Primarily in person,1443
Texas Southern University,Hybrid,9732
Texas State University,Primarily in person,38644
Texas Tech University,Primarily in person,38209
Texas Wesleyan University,Hybrid,2236
Texas Woman's University,Primarily in person,15518
The Citadel,Primarily in person,3763
Thiel College,Primarily in person,742
Thomas Aquinas College,Undetermined,407
Thomas College,Primarily in person,1767
Thomas Edison State University,Fully in person,10934
Thomas Jefferson University,Hybrid,7786
Thomas More College of Liberal Arts,Other,90
Thomas More University,Hybrid,2253
Thomas University,Primarily online,1310
Tiffin University,Primarily in person,3045
Toccoa Falls College,Primarily in person,1656
Torah Temimah Talmudical Seminary,Other,21
