college,class_plan,total_enrollment
Brigham Young University,Primarily in person,34499
Brigham Young University-Hawaii,Fully online,3176
Brigham Young University-Idaho,Primarily online,42341
Broward College,Primarily online,40784
Brown University,Primarily online,10257
Bryan College,Primarily in person,1363
Bryan College of Health Sciences,Primarily online,716
Bryant University,Primarily in person,3788
Bryn Mawr College,Primarily in person,1690
Bucknell University,Primarily in person,3668
Buena Vista University,Fully in person,1846
Buffalo State College,Primarily online,9118
Butler University,Primarily online,5495
Cabarrus College of Health Sciences,Primarily online,433
Cabrini University,Hybrid,2285
Cairn University,Primarily in person,1143
Caldwell University,Hybrid,2189
California Baptist University,Primarily online,10486
California Christian College,Undetermined,13
California College of the Arts,Fully online,1805
California College San Diego,Other,761
California Institute of Technology,Fully online,2233
California Institute of the Arts,Primarily online,1506
California Jazz Conservatory,Primarily online,54
California Lutheran University,Primarily online,4383
California Polytechnic State University at San Luis Obispo,Primarily online,22013
California State Polytechnic University at Pomona,Fully online,26598
California State University at Bakersfield,Primarily online,10816
California State University at Chico,Fully online,17578
Fresno State University,Primarily online,25137
California State University at Fullerton,Fully online,40280
California State University at Long Beach,Primarily online,37466
California State University at Los Angeles,Fully online,28036
California State University at Northridge,Primarily online,40212
California State University at Sacramento,Primarily online,31902
California State University at San Bernardino,Primarily online,20238
California State University at San Marcos,Primarily online,15972
California State University Maritime Academy,Primarily online,1046
California State University-Channel Islands,Primarily online,7488
California State University-Dominguez Hills,Primarily online,16732
California State University-East Bay,Primarily online,15628
California State University-Monterey Bay,Primarily online,7540
California State University-Stanislaus,Primarily online,10577
California University of Pennsylvania,Fully online,7310
Calumet College of Saint Joseph,Primarily in person,773
Calvary University,Hybrid,346
Calvin University,Primarily in person,3732
Cambridge College,Fully online,2234
Cameron University,Primarily in person,4290
Campbell University,Primarily online,6448
Campbellsville University,Primarily online,11470
Canisius College,Primarily in person,3244
Capital University,Primarily online,3213
Capitol Technology University,Primarily online,743
Cardinal Stritch University,Primarily in person,2148
Carleton College,Hybrid,2097
Carlos Albizu University at Miami,Primarily online,746
Carlow University,Primarily online,2076
Carnegie Mellon University,Primarily online,14029
Carolina Christian College,Fully online,70
Carolina College of Biblical Studies,Hybrid,182
Carolina University,Hybrid,896
Carolinas College of Health Sciences,Primarily online,467
Carroll College,Primarily in person,1335
Carroll University,Primarily in person,3352
Carson-Newman University,Primarily in person,2560
Carthage College,Primarily in person,2872
Cascadia College,Primarily online,3396
Case Western Reserve University,Primarily online,11890
Castleton University,Fully online,2196
Catawba College,Primarily online,1294
Catholic Distance University,Fully online,203
Catholic University of America,Fully online,5956
Cazenovia College,Primarily in person,870
Cedar Crest College,Primarily online,1596
Cedarville University,Primarily in person,4150
Centenary College of Louisiana,Primarily online,585
Centenary University,Other,1802
Central Baptist College,Hybrid,732
Central Christian College,Fully in person,726
Central Christian College of the Bible,Primarily in person,211
Central College,Primarily in person,1117
Central Connecticut State University,Primarily online,11822
Central Maine Medical Center College of Nursing and Health Professions,Fully online,177
Central Methodist University,Hybrid,5011
Central Michigan University,Hybrid,21622
Central State University,Primarily in person,2099
Central Washington University,Primarily in person,12342
Central Yeshiva Tomchei Tmimim Lubavitch America,Other,536
Centralia College,Primarily online,3167
Centre College,Primarily in person,1434
Chadron State College,Hybrid,2448
Chaminade University of Honolulu,Primarily online,2150
Champion Christian College,Primarily in person,87
Champlain College,Hybrid,4531
Chapman University,Primarily online,9608
Charles R. Drew University of Medicine and Science,Primarily online,596
Charleston Southern University,Primarily online,3414
Charlotte Christian College and Theological Seminary,Other,80
Charter Oak State College,Fully online,1641
Chatham University,Primarily in person,2336
Chestnut Hill College,Fully online,1794
Cheyney University of Pennsylvania,Primarily in person,466
Chicago School of Professional Psychology at Los Angeles,Fully online,2628
Chicago State University,Primarily online,2964
Chipola College,Primarily in person,2081
Chowan University,Primarily online,1399
Christ College of Nursing and Health Sciences,Hybrid,902
Christian Brothers University,Primarily in person,2034
Christopher Newport University,Primarily online,4957
Cincinnati Christian University,Other,776
City College at Fort Lauderdale,Undetermined,303
City College at Gainesville,Undetermined,190
City College at Miami,Undetermined,173
City College of City University of New York,Primarily online,16043
City University of New York Bernard M. Baruch College,Primarily online,18029
City University of New York Brooklyn College,Primarily online,18161
City University of New York College of Staten Island,Primarily online,13247
City University of New York Herbert H. Lehman College,Primarily online,14787
City University of New York Hunter College,Primarily online,23202
City University of New York John Jay College of Criminal Justice,Primarily online,15394
City University of New York Medgar Evers College,Primarily online,6638
City University of New York Queens College,Fully online,19746
